DES,HBA,HBD,T(K),P(kPa),w(H2O)%,experimental(g/g),DES_ratio
1:2,[TEA]Cl,Tetz,303.15,100.0,0.0,0.66,0.5
1:3,[TEA]Cl,Im,313.15,100.0,0.0,0.94,0.3333333333333333
1:3,[TEA]Cl,Im,323.15,100.0,0.0,0.8,0.3333333333333333
1:3,[TEA]Cl,Im,333.15,100.0,0.0,0.52,0.3333333333333333
1:2,[TEA]Cl,Pyr,313.15,100.0,0.0,0.53,0.5
1:2,[TEA]Cl,Pyr,323.15,100.0,0.0,0.42,0.5
1:2,[TEA]Cl,Pyr,333.15,100.0,0.0,0.31,0.5
1:3,[TEA]Cl,Pyr,313.15,100.0,0.0,0.54,0.3333333333333333
1:3,[TEA]Cl,Pyr,323.15,100.0,0.0,0.45,0.3333333333333333
1:3,[TEA]Cl,Pyr,333.15,100.0,0.0,0.38,0.3333333333333333
1:2,[TEA]Cl,Tetz,313.15,100.0,0.0,0.62,0.5
1:2,[TEA]Cl,Tetz,323.15,100.0,0.0,0.53,0.5
1:2,[TEA]Cl,Tetz,333.15,100.0,0.0,0.41,0.5
0.5:1,[Emim]Cl,2-NH2Py,298.15,100.0,0.0,1.009,0.5
1:1,[Emim]Cl,2-NH2Py,298.15,100.0,0.0,1.056,1.0
2:1,[Emim]Cl,2-NH2Py,298.15,100.0,0.0,1.066,2.0
3:1,[Emim]Cl,2-NH2Py,298.15,100.0,0.0,1.081,3.0
4:1,[Emim]Cl,2-NH2Py,298.15,100.0,0.0,1.072,4.0
5:1,[Emim]Cl,2-NH2Py,298.15,100.0,0.0,1.145,5.0
6:1,[Emim]Cl,2-NH2Py,298.15,100.0,0.0,1.179,6.0
7:1,[Emim]Cl,2-NH2Py,298.15,100.0,0.0,1.247,7.0
8:1,[Emim]Cl,2-NH2Py,298.15,100.0,0.0,1.195,8.0
7:1,[Emim]Cl,3-NH2Py,298.15,100.0,0.0,1.244,7.0
7:1,[Emim]Cl,4-NH2Py,298.15,100.0,0.0,1.246,7.0
7:1,[Emim]Cl,3-OHPy,298.15,100.0,0.0,1.21,7.0
7:1,[Emim]Cl,4-OHPy,298.15,100.0,0.0,1.231,7.0
7:1,[Emim]Cl,2-NH2Py,293.15,30.0,0.0,0.92,7.0
7:1,[Emim]Cl,2-NH2Py,293.15,40.0,0.0,1.02,7.0
7:1,[Emim]Cl,2-NH2Py,293.15,50.0,0.0,1.1,7.0
7:1,[Emim]Cl,2-NH2Py,293.15,60.0,0.0,1.2,7.0
7:1,[Emim]Cl,2-NH2Py,293.15,70.0,0.0,1.25,7.0
7:1,[Emim]Cl,2-NH2Py,293.15,80.0,0.0,1.33,7.0
7:1,[Emim]Cl,2-NH2Py,293.15,90.0,0.0,1.42,7.0
7:1,[Emim]Cl,2-NH2Py,298.15,30.0,0.0,0.8,7.0
7:1,[Emim]Cl,2-NH2Py,298.15,40.0,0.0,0.89,7.0
7:1,[Emim]Cl,2-NH2Py,298.15,50.0,0.0,0.94,7.0
7:1,[Emim]Cl,2-NH2Py,298.15,60.0,0.0,1.01,7.0
7:1,[Emim]Cl,2-NH2Py,298.15,70.0,0.0,1.08,7.0
7:1,[Emim]Cl,2-NH2Py,298.15,80.0,0.0,1.14,7.0
7:1,[Emim]Cl,2-NH2Py,298.15,90.0,0.0,1.19,7.0
7:1,[Emim]Cl,2-NH2Py,313.15,30.0,0.0,0.62,7.0
7:1,[Emim]Cl,2-NH2Py,313.15,40.0,0.0,0.7,7.0
7:1,[Emim]Cl,2-NH2Py,313.15,50.0,0.0,0.73,7.0
7:1,[Emim]Cl,2-NH2Py,313.15,60.0,0.0,0.78,7.0
7:1,[Emim]Cl,2-NH2Py,313.15,70.0,0.0,0.83,7.0
7:1,[Emim]Cl,2-NH2Py,313.15,80.0,0.0,0.89,7.0
7:1,[Emim]Cl,2-NH2Py,313.15,90.0,0.0,0.91,7.0
7:1,[Emim]Cl,2-NH2Py,313.15,100.0,0.0,0.94,7.0
7:1,[Emim]Cl,2-NH2Py,333.15,30.0,0.0,0.42,7.0
7:1,[Emim]Cl,2-NH2Py,333.15,40.0,0.0,0.49,7.0
7:1,[Emim]Cl,2-NH2Py,333.15,50.0,0.0,0.53,7.0
7:1,[Emim]Cl,2-NH2Py,333.15,60.0,0.0,0.58,7.0
7:1,[Emim]Cl,2-NH2Py,333.15,70.0,0.0,0.61,7.0
7:1,[Emim]Cl,2-NH2Py,333.15,80.0,0.0,0.63,7.0
7:1,[Emim]Cl,2-NH2Py,333.15,90.0,0.0,0.66,7.0
7:1,[Emim]Cl,2-NH2Py,333.15,100.0,0.0,0.7,7.0
7:1,[Emim]Cl,2-NH2Py,353.15,30.0,0.0,0.34,7.0
7:1,[Emim]Cl,2-NH2Py,353.15,40.0,0.0,0.4,7.0
7:1,[Emim]Cl,2-NH2Py,353.15,50.0,0.0,0.44,7.0
7:1,[Emim]Cl,2-NH2Py,353.15,60.0,0.0,0.49,7.0
7:1,[Emim]Cl,2-NH2Py,353.15,70.0,0.0,0.51,7.0
7:1,[Emim]Cl,2-NH2Py,353.15,80.0,0.0,0.52,7.0
7:1,[Emim]Cl,2-NH2Py,353.15,90.0,0.0,0.55,7.0
7:1,[Emim]Cl,2-NH2Py,353.15,100.0,0.0,0.58,7.0
1:1,ACC,EG,303.2,1.7,0.0,0.043104419,1.0
1:1,ACC,EG,303.2,3.6,0.0,0.082003528,1.0
1:1,ACC,EG,303.2,6.1,0.0,0.119851311,1.0
1:1,ACC,EG,303.2,8.8,0.0,0.153756616,1.0
1:1,ACC,EG,303.2,11.9,0.0,0.185559266,1.0
1:1,ACC,EG,303.2,14.8,0.0,0.211579617,1.0
1:1,ACC,EG,303.2,18.0,0.0,0.236811472,1.0
1:1,ACC,EG,303.2,21.5,0.0,0.262043327,1.0
1:1,ACC,EG,303.2,26.2,0.0,0.293583145,1.0
1:1,ACC,EG,303.2,32.2,0.0,0.331168096,1.0
1:1,ACC,EG,303.2,38.9,0.0,0.368227383,1.0
1:1,ACC,EG,303.2,45.8,0.0,0.40528667,1.0
1:1,ACC,EG,303.2,53.0,0.0,0.440768966,1.0
1:1,ACC,EG,303.2,61.6,0.0,0.48177073,1.0
1:1,ACC,EG,303.2,69.3,0.0,0.516990194,1.0
1:1,ACC,EG,303.2,79.5,0.0,0.561671604,1.0
1:1,ACC,EG,303.2,89.5,0.0,0.60582735,1.0
1:1,ACC,EG,303.2,99.7,0.0,0.648931769,1.0
1:1,ACC,"1, 3-PDO",303.2,1.4,0.0,0.036781813,1.0
1:1,ACC,"1, 3-PDO",303.2,2.9,0.0,0.062379966,1.0
1:1,ACC,"1, 3-PDO",303.2,4.6,0.0,0.090214851,1.0
1:1,ACC,"1, 3-PDO",303.2,7.1,0.0,0.120037942,1.0
1:1,ACC,"1, 3-PDO",303.2,10.0,0.0,0.149861034,1.0
1:1,ACC,"1, 3-PDO",303.2,13.9,0.0,0.18465464,1.0
1:1,ACC,"1, 3-PDO",303.2,18.4,0.0,0.218702669,1.0
1:1,ACC,"1, 3-PDO",303.2,24.0,0.0,0.256230059,1.0
1:1,ACC,"1, 3-PDO",303.2,30.4,0.0,0.293508923,1.0
1:1,ACC,"1, 3-PDO",303.2,37.5,0.0,0.33178189,1.0
1:1,ACC,"1, 3-PDO",303.2,45.4,0.0,0.37104896,1.0
1:1,ACC,"1, 3-PDO",303.2,52.9,0.0,0.407582247,1.0
1:1,ACC,"1, 3-PDO",303.2,60.9,0.0,0.443121431,1.0
1:1,ACC,"1, 3-PDO",303.2,69.8,0.0,0.481145872,1.0
1:1,ACC,"1, 3-PDO",303.2,79.9,0.0,0.5228982,1.0
1:1,ACC,"1, 3-PDO",303.2,89.7,0.0,0.563159373,1.0
1:1,ACC,"1, 3-PDO",303.2,99.9,0.0,0.603917598,1.0
1:1,ACC,TG,303.2,1.7,0.0,0.003281861,1.0
1:1,ACC,TG,303.2,3.8,0.0,0.007335925,1.0
1:1,ACC,TG,303.2,7.1,0.0,0.013706597,1.0
1:1,ACC,TG,303.2,12.4,0.0,0.023938282,1.0
1:1,ACC,TG,303.2,18.5,0.0,0.035714372,1.0
1:1,ACC,TG,303.2,22.3,0.0,0.043050297,1.0
1:1,ACC,TG,303.2,29.7,0.0,0.057336046,1.0
1:1,ACC,TG,303.2,37.4,0.0,0.072200946,1.0
1:1,ACC,TG,303.2,45.1,0.0,0.087065847,1.0
1:1,ACC,TG,303.2,53.2,0.0,0.10270295,1.0
1:1,ACC,TG,303.2,61.4,0.0,0.118533104,1.0
1:1,ACC,TG,303.2,72.9,0.0,0.14073393,1.0
1:1,ACC,TG,303.2,81.8,0.0,0.157915439,1.0
1:1,ACC,TG,303.2,90.4,0.0,0.174517795,1.0
1:1,ACC,TG,303.2,90.6,0.0,0.174903897,1.0
1:2,ACC,TG,303.2,1.8,0.0,0.0291061,0.5
1:2,ACC,TG,303.2,4.0,0.0,0.058478008,0.5
1:2,ACC,TG,303.2,6.7,0.0,0.084527303,0.5
1:2,ACC,TG,303.2,10.1,0.0,0.114829544,0.5
1:2,ACC,TG,303.2,14.5,0.0,0.145530498,0.5
1:2,ACC,TG,303.2,19.1,0.0,0.173972075,0.5
1:2,ACC,TG,303.2,23.7,0.0,0.201749129,0.5
1:2,ACC,TG,303.2,29.2,0.0,0.229393278,0.5
1:2,ACC,TG,303.2,34.5,0.0,0.255043859,0.5
1:2,ACC,TG,303.2,41.5,0.0,0.287339668,0.5
1:2,ACC,TG,303.2,48.8,0.0,0.318173527,0.5
1:2,ACC,TG,303.2,56.2,0.0,0.349273195,0.5
1:2,ACC,TG,303.2,63.7,0.0,0.379043817,0.5
1:2,ACC,TG,303.2,72.7,0.0,0.413997718,0.5
1:2,ACC,TG,303.2,82.1,0.0,0.449749046,0.5
1:2,ACC,TG,303.2,90.6,0.0,0.48191195,0.5
1:2,ACC,TG,303.2,102.0,0.0,0.525371743,0.5
1:3,ACC,TG,303.2,1.7,0.0,0.019456032,0.3333333333333333
1:3,ACC,TG,303.2,3.6,0.0,0.039520066,0.3333333333333333
1:3,ACC,TG,303.2,5.8,0.0,0.059280099,0.3333333333333333
1:3,ACC,TG,303.2,9.8,0.0,0.087754813,0.3333333333333333
1:3,ACC,TG,303.2,13.8,0.0,0.114810858,0.3333333333333333
1:3,ACC,TG,303.2,18.6,0.0,0.141765569,0.3333333333333333
1:3,ACC,TG,303.2,23.1,0.0,0.165477609,0.3333333333333333
1:3,ACC,TG,303.2,28.2,0.0,0.19040565,0.3333333333333333
1:3,ACC,TG,303.2,33.8,0.0,0.216347027,0.3333333333333333
1:3,ACC,TG,303.2,40.9,0.0,0.245531076,0.3333333333333333
1:3,ACC,TG,303.2,47.9,0.0,0.273499122,0.3333333333333333
1:3,ACC,TG,303.2,55.5,0.0,0.303088505,0.3333333333333333
1:3,ACC,TG,303.2,64.5,0.0,0.337541895,0.3333333333333333
1:3,ACC,TG,303.2,72.3,0.0,0.366219276,0.3333333333333333
1:3,ACC,TG,303.2,81.0,0.0,0.398240663,0.3333333333333333
1:3,ACC,TG,303.2,90.2,0.0,0.430667384,0.3333333333333333
1:3,ACC,TG,303.2,99.7,0.0,0.464107439,0.3333333333333333
1:1,ACC,Gly,303.2,1.1,0.0,0.018252446,1.0
1:1,ACC,Gly,303.2,2.7,0.0,0.03931296,1.0
1:1,ACC,Gly,303.2,4.5,0.0,0.061309497,1.0
1:1,ACC,Gly,303.2,7.9,0.0,0.092900268,1.0
1:1,ACC,Gly,303.2,12.2,0.0,0.127299108,1.0
1:1,ACC,Gly,303.2,15.9,0.0,0.152337719,1.0
1:1,ACC,Gly,303.2,19.9,0.0,0.177376331,1.0
1:1,ACC,Gly,303.2,25.1,0.0,0.206393039,1.0
1:1,ACC,Gly,303.2,30.1,0.0,0.231899662,1.0
1:1,ACC,Gly,303.2,37.2,0.0,0.26583049,1.0
1:1,ACC,Gly,303.2,44.1,0.0,0.296251233,1.0
1:1,ACC,Gly,303.2,52.0,0.0,0.327373993,1.0
1:1,ACC,Gly,303.2,60.2,0.0,0.359432775,1.0
1:1,ACC,Gly,303.2,69.6,0.0,0.394767638,1.0
1:1,ACC,Gly,303.2,80.0,0.0,0.432208552,1.0
1:1,ACC,Gly,303.2,89.9,0.0,0.467309409,1.0
1:1,ACC,Gly,303.2,100.3,0.0,0.502410266,1.0
1:1,ACC,TG,313.2,1.5,0.0,0.02046337,1.0
1:1,ACC,TG,313.2,3.1,0.0,0.044208601,1.0
1:1,ACC,TG,313.2,5.2,0.0,0.065637224,1.0
1:1,ACC,TG,313.2,7.5,0.0,0.089382455,1.0
1:1,ACC,TG,313.2,10.0,0.0,0.110618027,1.0
1:1,ACC,TG,313.2,13.2,0.0,0.133591056,1.0
1:1,ACC,TG,313.2,16.8,0.0,0.157722388,1.0
1:1,ACC,TG,313.2,20.4,0.0,0.176641352,1.0
1:1,ACC,TG,313.2,25.1,0.0,0.201930989,1.0
1:1,ACC,TG,313.2,30.1,0.0,0.226448422,1.0
1:1,ACC,TG,313.2,36.9,0.0,0.256564325,1.0
1:1,ACC,TG,313.2,43.0,0.0,0.281660911,1.0
1:1,ACC,TG,313.2,50.4,0.0,0.311004611,1.0
1:1,ACC,TG,313.2,59.7,0.0,0.344209324,1.0
1:1,ACC,TG,313.2,69.4,0.0,0.378958443,1.0
1:1,ACC,TG,313.2,80.4,0.0,0.415058916,1.0
1:1,ACC,TG,313.2,90.2,0.0,0.447491426,1.0
1:1,ACC,TG,313.2,101.3,0.0,0.482819697,1.0
1:1,ACC,TG,323.2,1.6,0.0,0.019305066,1.0
1:1,ACC,TG,323.2,3.1,0.0,0.03532827,1.0
1:1,ACC,TG,323.2,6.0,0.0,0.061390109,1.0
1:1,ACC,TG,323.2,8.6,0.0,0.079536871,1.0
1:1,ACC,TG,323.2,11.7,0.0,0.098648886,1.0
1:1,ACC,TG,323.2,16.0,0.0,0.122008016,1.0
1:1,ACC,TG,323.2,20.5,0.0,0.142471386,1.0
1:1,ACC,TG,323.2,24.3,0.0,0.159073743,1.0
1:1,ACC,TG,323.2,31.2,0.0,0.185135581,1.0
1:1,ACC,TG,323.2,38.8,0.0,0.210618268,1.0
1:1,ACC,TG,323.2,47.7,0.0,0.238224513,1.0
1:1,ACC,TG,323.2,57.6,0.0,0.26679601,1.0
1:1,ACC,TG,323.2,68.5,0.0,0.295753609,1.0
1:1,ACC,TG,323.2,78.9,0.0,0.32258765,1.0
1:1,ACC,TG,323.2,89.4,0.0,0.347877287,1.0
1:1,ACC,TG,323.2,100.6,0.0,0.374132176,1.0
1:1,ACC,TG,333.2,1.3,0.0,0.013127445,1.0
1:1,ACC,TG,333.2,2.5,0.0,0.023938282,1.0
1:1,ACC,TG,333.2,4.2,0.0,0.037258777,1.0
1:1,ACC,TG,333.2,6.2,0.0,0.051737576,1.0
1:1,ACC,TG,333.2,9.2,0.0,0.068532984,1.0
1:1,ACC,TG,333.2,12.5,0.0,0.08513534,1.0
1:1,ACC,TG,333.2,15.9,0.0,0.100193292,1.0
1:1,ACC,TG,333.2,19.2,0.0,0.112741585,1.0
1:1,ACC,TG,333.2,23.6,0.0,0.12895784,1.0
1:1,ACC,TG,333.2,28.5,0.0,0.144981045,1.0
1:1,ACC,TG,333.2,34.7,0.0,0.163127806,1.0
1:1,ACC,TG,333.2,41.8,0.0,0.182625923,1.0
1:1,ACC,TG,333.2,50.3,0.0,0.203668445,1.0
1:1,ACC,TG,333.2,60.0,0.0,0.226255372,1.0
1:1,ACC,TG,333.2,69.7,0.0,0.247297893,1.0
1:1,ACC,TG,333.2,80.3,0.0,0.268340415,1.0
1:1,ACC,TG,333.2,90.3,0.0,0.288996836,1.0
1:1,ACC,TG,333.2,100.4,0.0,0.3079158,1.0
2:1,[Bmim]Cl,2-OHPy,293.15,100.0,0.133,1.1,2.0
1:1,[Bmim]Cl,2-OHPy,293.15,100.0,0.0967,1.09,1.0
2:3,[Bmim]Cl,2-OHPy,293.15,100.0,0.1533,1.05,0.6666666666666666
2:1,[Bmim]Cl,3-OHPy,293.15,100.0,0.1351,1.14,2.0
1:1,[Bmim]Cl,3-OHPy,293.15,100.0,0.1216,1.11,1.0
2:3,[Bmim]Cl,3-OHPy,293.15,100.0,0.104,1.08,0.6666666666666666
2:1,[Bmim]Cl,4-OHPy,293.15,100.0,0.1342,1.16,2.0
1:1,[Bmim]Cl,4-OHPy,293.15,100.0,0.1148,1.14,1.0
2:3,[Bmim]Cl,4-OHPy,293.15,100.0,0.1134,1.11,0.6666666666666666
1:1,[Bmim]Cl,2-OHPy,303.15,100.0,0.0967,0.88,1.0
1:1,[Bmim]Cl,2-OHPy,313.15,100.0,0.0967,0.77,1.0
1:1,[Bmim]Cl,2-OHPy,323.15,100.0,0.0967,0.67,1.0
1:1,[Bmim]Cl,2-OHPy,333.15,100.0,0.0967,0.56,1.0
1:1,[Bmim]Cl,3-OHPy,303.15,100.0,0.1216,0.91,1.0
1:1,[Bmim]Cl,3-OHPy,313.15,100.0,0.1216,0.78,1.0
1:1,[Bmim]Cl,3-OHPy,323.15,100.0,0.1216,0.67,1.0
1:1,[Bmim]Cl,3-OHPy,333.15,100.0,0.1216,0.58,1.0
1:1,[Bmim]Cl,4-OHPy,303.15,100.0,0.1148,0.97,1.0
1:1,[Bmim]Cl,4-OHPy,313.15,100.0,0.1148,0.81,1.0
1:1,[Bmim]Cl,4-OHPy,323.15,100.0,0.1148,0.71,1.0
1:1,[Bmim]Cl,4-OHPy,333.15,100.0,0.1148,0.63,1.0
2:1,[Bmim]Cl,3-OHPy,293.15,50.0,0.1351,0.82,2.0
2:1,[Bmim]Cl,3-OHPy,293.15,10.0,0.1351,0.43,2.0
2:1,[Bmim]Cl,3-OHPy,293.15,0.2,0.1351,0.07,2.0
2:1,[Bmim]Cl,4-OHPy,293.15,50.0,0.1342,0.85,2.0
2:1,[Bmim]Cl,4-OHPy,293.15,10.0,0.1342,0.46,2.0
1:1,[Bmim]Cl,4-OHPy,293.15,0.2,0.1148,0.15,1.0
2:1,[Bmim]Cl,4-OHPy,293.15,100.0,10.0,0.93,2.0
2:1,[Bmim]Cl,4-OHPy,293.15,100.0,20.0,0.75,2.0
